Name,Age,Score,Group
Matthew Moore,21.0,83.53,"Robotics, Coding Club"
Rahul,21.0,69.47,Literary Society
James Brown,21.0,64.83,Coding Club
Pooja,20.0,68.19,"Robotics, Coding Club, Cultural Club"
Mr. Andrew Foster,19.0,88.94,Literary Society
Priya,20.0,84.65,Sports Club
Rakesh,20.0,85.47,Robotics
Amy Kelley,21.0,65.26,"Literary Society, Entrepreneurship Cell"
Virginia Daniels,23.0,92.01,"Coding Club, Cultural Club"
Crystal Mann,20.0,60.28,Robotics
Anita,23.0,61.73,"Coding Club, Cultural Club, Robotics"
Ashley Pacheco,22.0,60.87,Sports Club
Joshua Garcia,18.0,93.73,Sports Club
Neha,20.0,62.68,Robotics
Neha,20.0,93.92,Entrepreneurship Cell
Rakhi,20.0,88.78,"Cultural Club, Robotics"
Siddharth,19.0,89.39,"Sports Club, Robotics"
Carl Green,23.0,80.04,Robotics
Siddharth,23.0,76.12,"Literary Society, Sports Club, Cultural Club"
Siddharth,21.0,73.41,"Literary Society, Robotics, Sports Club"
Patricia Smith,22.0,78.76,"Coding Club, Sports Club, Robotics"
Vikram,18.0,71.87,Literary Society
Timothy Pham,23.0,60.44,"Entrepreneurship Cell, Robotics, Sports Club"
Ramya,18.0,85.61,"Sports Club, Cultural Club, Coding Club"
Emily Rios,23.0,60.72,"Cultural Club, Sports Club, Literary Society"
Anil,20.0,78.34,"Coding Club, Sports Club, Literary Society"
Pooja,19.0,91.7,"Coding Club, Literary Society, Entrepreneurship Cell"
Sharon Martinez DVM,20.0,60.62,Sports Club
Garrett Meyer,18.0,89.46,"Coding Club, Robotics"
Vincent Dalton,23.0,75.79,"Robotics, Literary Society"
Julie Howard,19.0,77.97,"Coding Club, Cultural Club"
Brent Rodgers,20.0,86.88,"Sports Club, Robotics, Cultural Club"
John Mendez,22.0,97.31,"Coding Club, Literary Society"
Kavya,22.0,90.01,Cultural Club
Frank Soto,21.0,76.45,Coding Club
Erin Austin,19.0,61.59,"Literary Society, Sports Club"
Arjun,20.0,83.26,"Literary Society, Coding Club"
Melissa Phillips,23.0,93.56,Coding Club
Rakhi,19.0,71.74,Robotics
Sergio Gomez,22.0,72.31,"Entrepreneurship Cell, Robotics"
Vikram,22.0,66.39,Literary Society
Anita,23.0,74.06,"Literary Society, Sports Club"
Neha,20.0,84.65,Sports Club
Ramya,22.0,83.69,Entrepreneurship Cell
Arjun,22.0,60.84,"Sports Club, Entrepreneurship Cell, Cultural Club"
Mr. David Hopkins DDS,20.0,71.08,"Literary Society, Robotics, Entrepreneurship Cell"
Anita,22.0,96.63,"Robotics, Entrepreneurship Cell"
Victor Hill,22.0,68.26,"Literary Society, Entrepreneurship Cell, Cultural Club"
Ramya,21.0,95.12,Entrepreneurship Cell
Ashley Singleton,20.0,97.12,Robotics
Douglas Tyler,18.0,90.35,"Sports Club, Entrepreneurship Cell"
Phillip Clark,20.0,82.53,"Coding Club, Cultural Club"
Patrick Thornton,22.0,71.11,Cultural Club
Pooja,19.0,79.11,"Sports Club, Literary Society"
Brittney Hernandez,19.0,97.96,Coding Club
Michael Shaffer,21.0,60.09,"Coding Club, Sports Club, Cultural Club"
Mitchell Griffith,20.0,67.05,"Robotics, Literary Society"
Anil,18.0,75.19,Entrepreneurship Cell
Priya,20.0,70.55,"Robotics, Cultural Club"
Ravi,21.0,95.6,"Coding Club, Literary Society, Sports Club"
Suresh,22.0,93.87,"Coding Club, Cultural Club"
Jason Pierce,21.0,88.24,"Entrepreneurship Cell, Robotics"
Sonal,19.0,80.6,Literary Society
Sonal,18.0,80.89,"Cultural Club, Sports Club, Literary Society"
Kavya,20.0,88.78,"Cultural Club, Robotics"
Arjun,18.0,61.91,"Coding Club, Robotics, Sports Club"
Rakesh,18.0,67.63,"Literary Society, Robotics, Cultural Club"
Meena,19.0,70.44,"Cultural Club, Entrepreneurship Cell"
Anita,20.0,94.54,"Robotics, Cultural Club, Sports Club"
Anthony Harmon,23.0,73.01,"Coding Club, Literary Society, Cultural Club"
Richard Aguirre,20.0,61.05,"Entrepreneurship Cell, Robotics, Cultural Club"
William Nguyen,19.0,93.7,"Literary Society, Coding Club"
James Cross,18.0,96.22,"Sports Club, Literary Society"
Rahul,18.0,60.05,"Cultural Club, Literary Society"
Siddharth,19.0,69.07,"Sports Club, Literary Society, Coding Club"
Arjun,18.0,61.25,"Coding Club, Robotics, Sports Club"
Anil,19.0,69.49,"Sports Club, Literary Society, Cultural Club"
Francisco Fernandez,23.0,99.85,"Entrepreneurship Cell, Literary Society, Sports Club"
Suresh,22.0,90.22,"Cultural Club, Literary Society"
Dawn Diaz,22.0,65.95,Robotics
Stephen Johnson,22.0,94.2,"Entrepreneurship Cell, Cultural Club, Sports Club"
Siddharth,21.0,73.57,"Sports Club, Literary Society, Coding Club"
Sandy Baker,18.0,98.74,Robotics
Lance Wolf,23.0,65.54,Sports Club
Ethan Adams,22.0,66.47,"Literary Society, Robotics"
Sarah King,23.0,85.68,Sports Club
Isaac Patterson,22.0,71.23,Entrepreneurship Cell
Kimberly Valdez,18.0,79.98,"Robotics, Literary Society"
Rakhi,21.0,73.67,"Cultural Club, Literary Society, Coding Club"
Sarah Phelps,22.0,63.1,"Entrepreneurship Cell, Cultural Club, Literary Society"
Kelly Le,19.0,99.17,Cultural Club
Kimberly Adams,23.0,62.07,Sports Club
Sarah Pittman,19.0,93.14,"Cultural Club, Robotics"
Amit,23.0,66.61,"Sports Club, Entrepreneurship Cell"
Rakesh,23.0,92.0,"Cultural Club, Sports Club, Coding Club"
Priya,21.0,67.73,Entrepreneurship Cell
Rakhi,21.0,91.07,"Cultural Club, Sports Club"
Robert Mendoza,22.0,78.97,Coding Club
Ramya,19.0,76.86,"Literary Society, Sports Club"
Anita,18.0,72.13,"Sports Club, Literary Society"
Pooja,22.0,60.26,"Literary Society, Robotics"
Christopher Berry,18.0,80.89,"Cultural Club, Sports Club, Literary Society"
Sonal,19.0,66.56,Coding Club
Ashley Jenkins,22.0,92.82,Entrepreneurship Cell
Jacqueline Christian,20.0,79.84,Entrepreneurship Cell
Jordan Chambers,23.0,89.45,"Robotics, Entrepreneurship Cell"
Rakesh,21.0,65.43,Robotics
Sean White,21.0,77.1,"Coding Club, Entrepreneurship Cell"
Kara Sandoval,19.0,80.5,"Robotics, Coding Club, Cultural Club"
Meena,22.0,63.1,"Entrepreneurship Cell, Cultural Club, Literary Society"
Meena,22.0,96.43,Cultural Club
Brenda Moreno MD,19.0,77.92,"Cultural Club, Coding Club"
Sonal,22.0,63.39,"Sports Club, Cultural Club, Robotics"
Lisa Cervantes,19.0,80.73,"Cultural Club, Literary Society"
Ramya,18.0,86.52,"Literary Society, Cultural Club"
Ryan Johnson,18.0,90.49,"Entrepreneurship Cell, Robotics, Sports Club"
Mercedes Jones,20.0,79.55,Cultural Club
Jason Morgan,21.0,70.11,"Entrepreneurship Cell, Cultural Club, Robotics"
Jesse Mckay,21.0,77.13,"Entrepreneurship Cell, Literary Society"
Pooja,20.0,98.41,"Sports Club, Cultural Club, Coding Club"
Amanda Terrell,23.0,82.37,"Literary Society, Sports Club, Coding Club"
Ravi,20.0,72.19,"Literary Society, Coding Club"
Kimberly Acosta,22.0,75.72,"Entrepreneurship Cell, Sports Club, Coding Club"
Keith Hall,18.0,68.42,"Cultural Club, Entrepreneurship Cell, Literary Society"
Anita,20.0,78.01,Robotics
Veronica Brewer,21.0,81.88,Cultural Club
Joshua Terry,21.0,87.45,"Literary Society, Sports Club"
Rakhi,18.0,75.04,"Cultural Club, Sports Club, Robotics"
Siddharth,20.0,66.09,Robotics
Sarah Hernandez,22.0,98.08,"Entrepreneurship Cell, Literary Society, Robotics"
Donna Marshall,18.0,69.71,Literary Society
Vikram,22.0,62.14,Sports Club
Amit,22.0,89.83,"Coding Club, Robotics, Literary Society"
Justin Torres,22.0,87.41,"Literary Society, Entrepreneurship Cell"
Suresh,23.0,66.94,"Cultural Club, Coding Club"
Monica Hall,18.0,71.56,"Entrepreneurship Cell, Sports Club, Cultural Club"
Divya,19.0,89.12,"Sports Club, Coding Club, Cultural Club"
Ravi,20.0,93.92,"Entrepreneurship Cell, Literary Society, Sports Club"
Linda Dodson DVM,22.0,79.22,"Cultural Club, Entrepreneurship Cell"
Amit,19.0,95.93,"Coding Club, Cultural Club"
Julie Herrera,19.0,92.89,Sports Club
Arjun,19.0,95.55,"Cultural Club, Coding Club"
Ashley Sweeney,20.0,76.28,"Coding Club, Literary Society"
Joseph Coleman,22.0,76.65,"Robotics, Entrepreneurship Cell"
Anita,23.0,91.85,Literary Society
Pooja,21.0,89.78,Sports Club
Rakesh,21.0,79.94,"Robotics, Sports Club, Coding Club"
Sonal,23.0,93.35,"Sports Club, Coding Club, Literary Society"
Anil,19.0,92.45,"Cultural Club, Robotics, Entrepreneurship Cell"
Ramya,23.0,96.35,"Entrepreneurship Cell, Literary Society"
Gregory Fernandez,18.0,75.32,"Literary Society, Sports Club"
Vikram,22.0,94.2,"Entrepreneurship Cell, Cultural Club, Sports Club"
Siddharth,20.0,60.28,Robotics
